Generation,G1 Baldwin Fitness,G1 Fitness,G2 Baldwin Fitness,G2 Fitness,% Plasticity
50.0,0.8152625,0.799625,0.763125,0.7344,0.6220909090909091
100.0,0.8152625,0.799625,0.763125,0.7344,0.4952909090909091
150.0,0.8152625,0.799625,0.830325,0.802325,0.2590545454545455
200.0,0.84285,0.815025,0.830325,0.802325,0.279
250.0,0.832425,0.8167375,0.830325,0.802325,0.22687272727272728
300.0,0.832425,0.8167375,0.8224625,0.80295,0.3028363636363636
350.0,0.8256375,0.8170125,0.8224625,0.80295,0.28867272727272725
400.0,0.8256375,0.8170125,0.818925,0.8103875,0.2821090909090909
450.0,0.8256375,0.8170125,0.8116375,0.8026,0.33140000000000003
500.0,0.8256375,0.8170125,0.814425,0.803725,0.3397272727272727
550.0,0.824825,0.80915,0.814425,0.803725,0.3770727272727273
600.0,0.824825,0.80915,0.8433125,0.805925,0.4525272727272727
650.0,0.834875,0.8110625,0.8433125,0.805925,0.40041818181818184
700.0,0.834875,0.8110625,0.8382875,0.8077125,0.4699636363636364
750.0,0.834875,0.8110625,0.83705,0.8137125,0.46665454545454543
800.0,0.8283375,0.7954875,0.83705,0.8137125,0.6562
850.0,0.83525,0.814125,0.83705,0.8137125,0.682509090909091
900.0,0.83525,0.814125,0.9503375,0.918725,0.7332363636363637
950.0,0.83525,0.814125,0.9463,0.897375,0.6152181818181818
1000.0,0.83525,0.814125,0.9543375,0.924525,0.5926181818181818
1050.0,0.83525,0.814125,0.9495125,0.9152625,0.6136181818181818
1100.0,0.893175,0.8594875,0.9495125,0.9152625,0.4889090909090909
1150.0,0.893175,0.8594875,0.9517,0.915825,0.5252727272727272
1200.0,0.893175,0.8594875,0.947025,0.9085375,0.5040909090909091
1250.0,0.893175,0.8594875,0.9483125,0.91475,0.3300545454545454
1300.0,0.893175,0.8594875,0.945825,0.920325,0.304
1350.0,0.9399625,0.9143,0.945825,0.920325,0.2962
1400.0,0.937525,0.902375,0.945825,0.920325,0.17119999999999996
1450.0,0.937525,0.902375,0.929925,0.915725,0.17045454545454544
1500.0,0.937525,0.902375,0.9378,0.91555,0.2907272727272727
1550.0,0.937525,0.902375,0.9400125,0.915725,0.33272727272727276
1600.0,0.937525,0.902375,0.9532625,0.920325,0.4835272727272727
1650.0,0.937525,0.902375,0.9308,0.9032,0.34583636363636366
1700.0,0.937525,0.902375,0.93355,0.90965,0.3914545454545454
1750.0,0.9470625,0.91705,0.93355,0.90965,0.3900727272727273
1800.0,0.9470625,0.91705,0.9536875,0.9094,0.3428181818181818
1850.0,0.9321125,0.9095875,0.9536875,0.9094,0.24547272727272726
1900.0,0.937625,0.91445,0.9536875,0.9094,0.17765454545454545
1950.0,0.9389,0.9099,0.9536875,0.9094,0.2710181818181818
2000.0,0.9389,0.9099,0.9208,0.8919625,0.1452
2050.0,0.9395,0.919675,0.9208,0.8919625,0.16634545454545452
2100.0,0.937075,0.911875,0.9208,0.8919625,0.12710909090909092
