Generation,G1 Baldwin Fitness,G1 Fitness,G2 Baldwin Fitness,G2 Fitness,% Plasticity
50.0,0.8116375,0.8008625,0.8451625,0.81765,0.46703636363636364
100.0,0.817275,0.8036375,0.8451625,0.81765,0.5080727272727272
150.0,0.7084625,0.672975,0.8451625,0.81765,0.4100363636363637
200.0,0.7767875,0.7565125,0.8451625,0.81765,0.38445454545454544
250.0,0.7767875,0.7565125,0.8451625,0.81765,0.3648909090909091
300.0,0.818125,0.7968625,0.8451625,0.81765,0.2096909090909091
350.0,0.8242125,0.8025875,0.8451625,0.81765,0.13958181818181817
400.0,0.825125,0.807625,0.8451625,0.81765,0.20741818181818183
450.0,0.825125,0.807625,0.830325,0.7822625,0.2462181818181818
500.0,0.825125,0.807625,0.8303,0.8002,0.31145454545454543
550.0,0.8062625,0.772175,0.8303,0.8002,0.31927272727272726
600.0,0.8062625,0.772175,0.8301625,0.8127125,0.2926909090909091
650.0,0.8062625,0.772175,0.7867375,0.7428375,0.2397090909090909
700.0,0.839125,0.81785,0.7867375,0.7428375,0.26314545454545457
750.0,0.839125,0.81785,0.851475,0.8132375,0.1877090909090909
800.0,0.8312,0.798175,0.851475,0.8132375,0.23452727272727272
850.0,0.8260875,0.7855125,0.851475,0.8132375,0.22189090909090908
900.0,0.8260875,0.7855125,0.84715,0.810075,0.22674545454545456
950.0,0.8260875,0.7855125,0.844675,0.8018,0.2121818181818182
1000.0,0.8336625,0.801275,0.844675,0.8018,0.21207272727272727
1050.0,0.8354,0.811375,0.844675,0.8018,0.24045454545454542
1100.0,0.8341,0.8115875,0.844675,0.8018,0.25827272727272726
1150.0,0.8341,0.8115875,0.8383375,0.813875,0.3171272727272727
1200.0,0.8262875,0.8015125,0.8383375,0.813875,0.2382
1250.0,0.8144125,0.7874375,0.8383375,0.813875,0.27325454545454547
1300.0,0.8144125,0.7874375,0.8353,0.82275,0.2535636363636364
1350.0,0.817075,0.8045,0.8353,0.82275,0.31974545454545455
1400.0,0.8164625,0.804125,0.8353,0.82275,0.3477818181818182
1450.0,0.8118875,0.7995625,0.8353,0.82275,0.3671272727272728
1500.0,0.8205125,0.80485,0.8353,0.82275,0.2550181818181818
1550.0,0.824275,0.80925,0.8353,0.82275,0.32185454545454545
1600.0,0.824275,0.80925,0.8264125,0.80145,0.34703636363636364
1650.0,0.8117,0.7937375,0.8264125,0.80145,0.3473636363636363
1700.0,0.8117,0.7937375,0.8366875,0.8163875,0.40861818181818177
1750.0,0.8317625,0.806775,0.8366875,0.8163875,0.5068
1800.0,0.8321625,0.80205,0.8366875,0.8163875,0.4742
1850.0,0.8343875,0.8031375,0.8366875,0.8163875,0.3275818181818182
1900.0,0.8336125,0.8122875,0.8366875,0.8163875,0.3889454545454545
1950.0,0.8336125,0.8122875,0.84395,0.80605,0.23147272727272727
2000.0,0.8336125,0.8122875,0.845375,0.80935,0.27074545454545457
2050.0,0.8333,0.7988375,0.845375,0.80935,0.22887272727272726
2100.0,0.8333,0.7988375,0.84205,0.8016125,0.2768
2150.0,0.8333,0.7988375,0.8411625,0.8038375,0.4203818181818182
2200.0,0.8333,0.7988375,0.8455,0.81365,0.431
2250.0,0.8333,0.7988375,0.8461625,0.8154125,0.4314909090909091
2300.0,0.83325,0.8111625,0.8461625,0.8154125,0.4008
2350.0,0.8229,0.7972375,0.8461625,0.8154125,0.5834727272727273
2400.0,0.8229,0.7972375,0.83665,0.814075,0.5885454545454546
2450.0,0.8229,0.7972375,0.828025,0.8167,0.6195090909090909
2500.0,0.81245,0.8041875,0.828025,0.8167,0.6185818181818182
2550.0,0.8206125,0.8049625,0.828025,0.8167,0.6321272727272728
2600.0,0.822275,0.80575,0.828025,0.8167,0.5882727272727273
2650.0,0.824075,0.808125,0.828025,0.8167,0.7319090909090911
2700.0,0.8244375,0.8097125,0.828025,0.8167,0.6906
2750.0,0.8244375,0.8097125,0.822875,0.787325,0.7193999999999999
2800.0,0.82455,0.8052125,0.822875,0.787325,0.6333272727272727
2850.0,0.8284375,0.809175,0.822875,0.787325,0.5904727272727273
2900.0,0.8224125,0.8052125,0.822875,0.787325,0.512109090909091
2950.0,0.822475,0.8034625,0.822875,0.787325,0.5113090909090909
3000.0,0.822475,0.8034625,0.833625,0.807775,0.4249636363636364
3050.0,0.8274,0.7951375,0.833625,0.807775,0.39205454545454543
3100.0,0.829925,0.8013375,0.833625,0.807775,0.44234545454545454
3150.0,0.829925,0.8013375,0.8411,0.8093125,0.45925454545454547
3200.0,0.833975,0.8003375,0.8411,0.8093125,0.3231636363636364
3250.0,0.8275125,0.7957375,0.8411,0.8093125,0.373309090909091
3300.0,0.82985,0.804575,0.8411,0.8093125,0.3900727272727273
3350.0,0.82985,0.804575,0.8408375,0.8201375,0.2000727272727273
3400.0,0.82985,0.804575,0.837875,0.81785,0.21596363636363633
3450.0,0.8210125,0.8093875,0.837875,0.81785,0.22992727272727273
3500.0,0.888225,0.8390375,0.837875,0.81785,0.13923636363636363
3550.0,0.8676,0.8534875,0.837875,0.81785,0.0662
3600.0,0.9138125,0.8966875,0.837875,0.81785,0.1796
3650.0,0.9138125,0.8966875,0.75425,0.6546125,0.09781818181818182
3700.0,0.802275,0.78505,0.75425,0.6546125,0.13769090909090909
3750.0,0.926825,0.89975,0.75425,0.6546125,0.23903636363636363
3800.0,0.9385625,0.908625,0.75425,0.6546125,0.23061818181818178
3850.0,0.9385625,0.908625,0.9311375,0.9009,0.26987272727272726
3900.0,0.8420875,0.7122625,0.9311375,0.9009,0.1492181818181818
