Generation,G1 Baldwin Fitness,G1 Fitness,G2 Baldwin Fitness,G2 Fitness,% Plasticity
50.0,0.650525,0.5456375,0.8738125,0.8582625,0.29003636363636365
100.0,0.8194125,0.79455,0.8738125,0.8582625,0.30965454545454546
150.0,0.7814125,0.624625,0.8738125,0.8582625,0.2307636363636364
200.0,0.7814125,0.624625,0.8738125,0.8582625,0.30205454545454546
250.0,0.8150875,0.806525,0.8738125,0.8582625,0.37061818181818185
300.0,0.8150875,0.806525,0.883575,0.86865,0.21165454545454543
350.0,0.8150875,0.806525,0.8796125,0.873175,0.09469090909090909
400.0,0.8150875,0.806525,0.8799625,0.8638,0.18430909090909092
450.0,0.8150875,0.806525,0.8129125,0.79225,0.25121818181818184
500.0,0.8198375,0.801275,0.8129125,0.79225,0.34010909090909097
550.0,0.8156125,0.796025,0.8129125,0.79225,0.36692727272727266
600.0,0.8137875,0.7938875,0.8129125,0.79225,0.4131818181818182
650.0,0.7947375,0.7707875,0.8129125,0.79225,0.20681818181818185
700.0,0.7947375,0.7707875,0.8193875,0.8025,0.2489818181818182
750.0,0.8138,0.7942625,0.8193875,0.8025,0.34465454545454544
800.0,0.9054875,0.8982,0.8193875,0.8025,0.4289636363636364
850.0,0.9054875,0.8982,0.8161875,0.789775,0.3992181818181818
900.0,0.8592375,0.8376875,0.8161875,0.789775,0.36469090909090907
950.0,0.8592375,0.8376875,0.7924875,0.7336,0.4938
1000.0,0.8592375,0.8376875,0.790425,0.7356125,0.5297090909090909
1050.0,0.8592375,0.8376875,0.8214125,0.7771375,0.5863636363636363
1100.0,0.818175,0.790125,0.8214125,0.7771375,0.5081818181818182
1150.0,0.818175,0.790125,0.8926125,0.8472,0.5603272727272727
1200.0,0.818175,0.790125,0.890075,0.8481625,0.5025636363636363
1250.0,0.818175,0.790125,0.8093,0.6808625,0.26790909090909093
1300.0,0.8338375,0.8060875,0.8093,0.6808625,0.2704909090909091
1350.0,0.8338375,0.8060875,0.8244,0.8049125,0.2596909090909091
1400.0,0.8338375,0.8060875,0.8251625,0.8058625,0.3110909090909091
1450.0,0.8338375,0.8060875,0.7798125,0.72565,0.14445454545454545
1500.0,0.8338375,0.8060875,0.820875,0.7949875,0.1893090909090909
1550.0,0.91375,0.9061875,0.820875,0.7949875,0.09818181818181819
1600.0,0.91375,0.9061875,0.7955375,0.607575,0.09656363636363637
1650.0,0.91375,0.9061875,0.7745,0.5472,0.0946
1700.0,0.91375,0.9061875,0.825125,0.7880625,0.10841818181818182
1750.0,0.91375,0.9061875,0.826475,0.805525,0.18510909090909092
1800.0,0.9272625,0.9051875,0.826475,0.805525,0.37550909090909085
1850.0,0.923275,0.899025,0.826475,0.805525,0.4677454545454545
1900.0,0.923275,0.899025,0.83785,0.8058375,0.38800000000000007
1950.0,0.923275,0.899025,0.8410125,0.8089625,0.40129090909090903
2000.0,0.923275,0.899025,0.949275,0.9086625,0.5430727272727273
2050.0,0.8224375,0.797825,0.949275,0.9086625,0.49405454545454547
2100.0,0.8224375,0.797825,0.943225,0.909325,0.37449090909090915
2150.0,0.808225,0.7931875,0.943225,0.909325,0.3997090909090909
2200.0,0.808225,0.7931875,0.9253375,0.91185,0.15565454545454546
