Generation,G1 Baldwin Fitness,G1 Fitness,G2 Baldwin Fitness,G2 Fitness,% Plasticity
50.0,0.8230375,0.8022,0.7779,0.7672875,0.2646
100.0,0.8230375,0.8022,0.7778375,0.765675,0.30578181818181815
150.0,0.8230375,0.8022,0.7223625,0.656925,0.27374545454545457
200.0,0.8230375,0.8022,0.7874875,0.7659875,0.465
250.0,0.8230375,0.8022,0.7872625,0.7681,0.46854545454545454
300.0,0.8230375,0.8022,0.8248375,0.7992,0.3878727272727273
350.0,0.8230375,0.8022,0.8248375,0.7992,0.3642
400.0,0.8285125,0.814425,0.8248375,0.7992,0.3770181818181818
450.0,0.828875,0.8136,0.8248375,0.7992,0.3634363636363636
500.0,0.827325,0.815575,0.8248375,0.7992,0.3815636363636364
550.0,0.827325,0.815575,0.8329375,0.81335,0.45096363636363634
600.0,0.827325,0.815575,0.833225,0.8133625,0.4608181818181818
650.0,0.827325,0.815575,0.827225,0.8117,0.5389090909090909
700.0,0.827325,0.815575,0.8225625,0.811225,0.5484727272727272
750.0,0.823275,0.8103125,0.8225625,0.811225,0.5528545454545455
800.0,0.823275,0.8103125,0.8251125,0.8154375,0.5093636363636364
850.0,0.823275,0.8103125,0.82655,0.8099875,0.4985090909090909
900.0,0.823275,0.8103125,0.81335,0.8048875,0.5777636363636364
950.0,0.8241,0.807275,0.81335,0.8048875,0.6128181818181818
1000.0,0.8241,0.807275,0.9185125,0.905375,0.5982363636363637
1050.0,0.8241,0.807275,0.8131,0.8003375,0.5543090909090909
1100.0,0.8241,0.807275,0.815925,0.788775,0.477
1150.0,0.8241,0.807275,0.819275,0.7850875,0.4687636363636363
1200.0,0.9159875,0.891,0.819275,0.7850875,0.5557272727272727
1250.0,0.909475,0.893225,0.819275,0.7850875,0.5478727272727273
1300.0,0.9164,0.9000625,0.819275,0.7850875,0.515
1350.0,0.9164,0.9000625,0.813025,0.7972375,0.47192727272727275
1400.0,0.9055,0.8920125,0.813025,0.7972375,0.4408909090909091
1450.0,0.9055,0.8920125,0.81025,0.787575,0.45238181818181816
1500.0,0.9055,0.8920125,0.8127375,0.794075,0.44438181818181816
1550.0,0.9055,0.8920125,0.813475,0.7941375,0.3629272727272727
1600.0,0.9070875,0.8910375,0.813475,0.7941375,0.41230909090909085
1650.0,0.9070875,0.8910375,0.809975,0.79815,0.4253454545454545
1700.0,0.9070875,0.8910375,0.8128,0.79445,0.5146181818181819
1750.0,0.90565,0.8923625,0.8128,0.79445,0.49578181818181816
1800.0,0.9085,0.8934875,0.8128,0.79445,0.4614181818181818
1850.0,0.9085,0.8934875,0.81235,0.78705,0.5419818181818182
1900.0,0.9188375,0.903825,0.81235,0.78705,0.5301454545454546
1950.0,0.9188375,0.903825,0.816325,0.79195,0.6151272727272727
2000.0,0.9301,0.9150875,0.816325,0.79195,0.5191818181818182
2050.0,0.9301,0.9150875,0.920225,0.9031875,0.44329090909090907
2100.0,0.9301,0.9150875,0.9224125,0.907025,0.44558181818181825
2150.0,0.9301,0.9150875,0.9135125,0.8986875,0.47894545454545456
2200.0,0.9301,0.9150875,0.92285,0.9104875,0.49176363636363635
2250.0,0.9301,0.9150875,0.91685,0.904725,0.4925818181818182
2300.0,0.927375,0.9131125,0.91685,0.904725,0.5484727272727272
2350.0,0.927375,0.9131125,0.904975,0.89425,0.4401818181818182
2400.0,0.927375,0.9131125,0.9146,0.870125,0.22696363636363637
2450.0,0.9215375,0.904875,0.9146,0.870125,0.2330909090909091
