Generation,G1 Baldwin Fitness,G1 Fitness,G2 Baldwin Fitness,G2 Fitness,% Plasticity
50.0,0.750525,0.738675,,,0.6757454545454545
100.0,0.8105375,0.7987375,,,0.6439272727272727
150.0,0.8048875,0.79305,,,0.612
200.0,0.8057,0.79445,,,0.6227272727272727
250.0,0.8149,0.8046625,,,0.6086909090909091
300.0,0.8084125,0.7950375,,,0.6079454545454546
350.0,0.81305,0.7985125,,,0.5834181818181818
400.0,0.8061625,0.7906875,,,0.5480727272727273
450.0,0.8132,0.8013375,,,0.5378181818181819
500.0,0.8583375,0.8456125,,,0.5968545454545454
550.0,0.851525,0.8368375,,,0.5823636363636364
600.0,0.8503125,0.83675,,,0.5774363636363636
650.0,0.855775,0.844925,,,0.5731090909090909
700.0,0.850075,0.839175,,,0.5367272727272727
750.0,0.8499625,0.83885,,,0.5211636363636364
800.0,0.84735,0.8356125,,,0.5320909090909091
850.0,0.8453,0.8337375,,,0.5344
900.0,0.8509125,0.8383375,,,0.48503636363636365
950.0,0.849875,0.836525,,,0.4678909090909091
1000.0,0.85075,0.8410375,,,0.4880909090909091
1050.0,0.8548625,0.8434375,,,0.4867818181818182
1100.0,0.852575,0.84495,,,0.43465454545454546
1150.0,0.8505875,0.8399,,,0.46234545454545456
1200.0,0.8511375,0.8420875,,,0.4776
1250.0,0.854175,0.8420625,,,0.4788181818181818
1300.0,0.8565,0.8462875,,,0.4942
1350.0,0.850875,0.8391875,,,0.5326909090909091
1400.0,0.8448625,0.8366625,,,0.48627272727272725
1450.0,0.8520875,0.8431,,,0.5031454545454546
1500.0,0.8472875,0.8348375,,,0.5540181818181819
1550.0,0.8475375,0.8376,,,0.5639818181818181
1600.0,0.8516875,0.839975,,,0.5518909090909091
1650.0,0.853075,0.8423625,,,0.5649454545454545
1700.0,0.8557,0.8467875,,,0.5543272727272728
1750.0,0.852525,0.8436375,,,0.5221818181818182
1800.0,0.8471375,0.8374375,,,0.5768363636363636
1850.0,0.8525625,0.8424875,,,0.5890727272727273
1900.0,0.8504,0.8391625,,,0.5720181818181819
1950.0,0.856025,0.8450625,,,0.6218
2000.0,0.8505875,0.8381,,,0.6304
2050.0,0.860875,0.847225,,,0.6044909090909091
2100.0,0.8584375,0.8419375,,,0.5496545454545455
2150.0,0.8569125,0.8420125,,,0.5183272727272727
2200.0,0.8503,0.83615,,,0.4856
2250.0,0.8538125,0.8405,,,0.41807272727272726
2300.0,0.8535875,0.8420875,,,0.41701818181818184
2350.0,0.8552125,0.8410875,,,0.46880000000000005
2400.0,0.853575,0.8410125,,,0.4923272727272727
2450.0,0.8524875,0.84055,,,0.5138363636363636
2500.0,0.8519,0.8403,,,0.5080181818181818
2550.0,0.8501875,0.8405,,,0.4760727272727273
2600.0,0.8532125,0.844625,,,0.4948909090909091
2650.0,0.8493125,0.835675,,,0.5336363636363637
2700.0,0.8553875,0.8444375,,,0.522090909090909
2750.0,0.852125,0.841125,,,0.5374909090909091
2800.0,0.850075,0.839425,,,0.5579272727272727
2850.0,0.8573875,0.8478625,,,0.5505454545454546
2900.0,0.8525375,0.8419125,,,0.5490727272727273
2950.0,0.8486375,0.8392875,,,0.5418181818181819
3000.0,0.851825,0.8421875,,,0.5353636363636364
3050.0,0.85905,0.8466125,,,0.5512
3100.0,0.8558875,0.840425,,,0.5732727272727273
3150.0,0.8611375,0.847025,,,0.6018181818181818
3200.0,0.8544125,0.84195,,,0.6062545454545455
3250.0,0.8570875,0.84625,,,0.6026727272727272
3300.0,0.8590875,0.8500625,,,0.6313454545454545
3350.0,0.85925,0.8480875,,,0.5357454545454545
3400.0,0.8525125,0.84285,,,0.554509090909091
3450.0,0.851425,0.8408125,,,0.5552727272727273
3500.0,0.853825,0.842575,,,0.5047090909090909
3550.0,0.8544375,0.8479875,,,0.5202363636363636
3600.0,0.8456625,0.8387125,,,0.49654545454545457
3650.0,0.84375,0.8353375,,,0.5091272727272728
3700.0,0.851225,0.842425,,,0.5164727272727273
3750.0,0.8524875,0.8434625,,,0.538290909090909
3800.0,0.853575,0.8459375,,,0.5106727272727273
3850.0,0.8483875,0.8396125,,,0.5040727272727272
3900.0,0.85275,0.845375,,,0.4906727272727272
3950.0,0.8493,0.8412625,,,0.4183818181818182
4000.0,0.8538125,0.8450125,,,0.41907272727272726
4050.0,0.850275,0.8391375,,,0.3991454545454545
4100.0,0.8535125,0.8441125,,,0.39487272727272726
4150.0,0.847225,0.83925,,,0.40878181818181825
4200.0,0.8571375,0.8473625,,,0.4307636363636364
4250.0,0.8587625,0.8483375,,,0.5142727272727273
4300.0,0.8555875,0.8446375,,,0.5845818181818182
4350.0,0.8527125,0.842325,,,0.539
4400.0,0.8514125,0.8384375,,,0.5316
4450.0,0.8542125,0.8398625,,,0.5363454545454546
4500.0,0.8566875,0.8431125,,,0.5054363636363637
4550.0,0.8547125,0.84055,,,0.4650727272727273
4600.0,0.853625,0.843625,,,0.4934727272727273
4650.0,0.85275,0.8423375,,,0.46510909090909097
4700.0,0.8519125,0.841225,,,0.44585454545454545
4750.0,0.8569,0.8461125,,,0.4414909090909091
4800.0,0.856475,0.8479625,,,0.452909090909091
4850.0,0.8521,0.84245,,,0.45143636363636364
4900.0,0.8517,0.843175,,,0.4681090909090909
4950.0,0.848625,0.8407125,,,0.47461818181818183
5000.0,0.8512,0.845825,,,0.47452727272727274
5050.0,0.853,0.8438625,,,0.5015272727272727
5100.0,0.85235,0.842575,,,0.5260363636363636
5150.0,0.8575125,0.8485875,,,0.5319454545454545
5200.0,0.846925,0.8347375,,,0.5143818181818182
5250.0,0.8528,0.84585,,,0.5468
5300.0,0.851,0.8410875,,,0.5614363636363636
5350.0,0.84975,0.8418125,,,0.5615272727272728
5400.0,0.8506375,0.842475,,,0.5499636363636363
5450.0,0.859375,0.8491625,,,0.5486
5500.0,0.8608875,0.8517875,,,0.5116545454545455
5550.0,0.851775,0.8415875,,,0.5416363636363636
5600.0,0.8542375,0.841975,,,0.5091454545454546
5650.0,0.8578875,0.851,,,0.5412181818181818
5700.0,0.849625,0.83965,,,0.5502363636363636
5750.0,0.8513625,0.840425,,,0.5253818181818182
5800.0,0.85075,0.83985,,,0.4834727272727272
5850.0,0.8490875,0.83995,,,0.48163636363636364
5900.0,0.8524,0.844175,,,0.4301090909090909
5950.0,0.85045,0.841025,,,0.4600545454545454
6000.0,0.847125,0.8356,,,0.5153454545454546
6050.0,0.8485625,0.8369,,,0.5078909090909091
6100.0,0.85455,0.8422375,,,0.5264363636363636
6150.0,0.852925,0.842375,,,0.47230909090909085
6200.0,0.85815,0.848425,,,0.4736545454545455
6250.0,0.8602125,0.8487125,,,0.5257090909090909
6300.0,0.852275,0.8382375,,,0.523309090909091
6350.0,0.8515,0.839225,,,0.5271090909090909
6400.0,0.848875,0.83705,,,0.5145818181818181
6450.0,0.851025,0.8387625,,,0.5031272727272728
6500.0,0.8429375,0.8321,,,0.5226727272727273
6550.0,0.85195,0.842525,,,0.5254181818181818
6600.0,0.852275,0.8437125,,,0.549
6650.0,0.8535,0.8450375,,,0.4992545454545454
6700.0,0.8527125,0.84425,,,0.4853272727272727
6750.0,0.8545,0.846225,,,0.5161818181818182
6800.0,0.8485625,0.8410375,,,0.5676909090909091
6850.0,0.8432875,0.8347125,,,0.5867636363636364
6900.0,0.8485125,0.8412125,,,0.5359454545454545
6950.0,0.8499375,0.8423875,,,0.5298181818181819
7000.0,0.8481125,0.84125,,,0.5087454545454545
7050.0,0.852175,0.844375,,,0.46343636363636365
7100.0,0.8497875,0.8413375,,,0.4149090909090909
7150.0,0.848825,0.84345,,,0.4163636363636364
7200.0,0.8496625,0.8414625,,,0.4556545454545455
7250.0,0.84765,0.8394625,,,0.4706909090909091
7300.0,0.849475,0.8442375,,,0.4678181818181818
7350.0,0.848375,0.842075,,,0.4467454545454545
7400.0,0.8501,0.845225,,,0.43338181818181826
7450.0,0.849175,0.8440875,,,0.42525454545454544
7500.0,0.853675,0.847375,,,0.4198545454545454
7550.0,0.85155,0.8415,,,0.441909090909091
7600.0,0.856575,0.846475,,,0.4875090909090909
7650.0,0.8499875,0.84085,,,0.5116181818181819
7700.0,0.8512125,0.84025,,,0.5320909090909091
7750.0,0.856225,0.84645,,,0.5428545454545455
7800.0,0.8526875,0.8422625,,,0.5273272727272728
7850.0,0.8487,0.8422875,,,0.5299272727272727
7900.0,0.8491125,0.8412,,,0.498309090909091
7950.0,0.852975,0.8434625,,,0.5447454545454545
8000.0,0.85065,0.840175,,,0.5467454545454545
8050.0,0.85315,0.8443375,,,0.5577818181818182
8100.0,0.8524125,0.8410125,,,0.5501272727272727
8150.0,0.852025,0.8415125,,,0.6096545454545454
8200.0,0.8525,0.8403125,,,0.5668
8250.0,0.855625,0.8443125,,,0.5561454545454545
8300.0,0.8504125,0.8412625,,,0.5329272727272727
8350.0,0.859525,0.8501625,,,0.522090909090909
8400.0,0.854,0.84525,,,0.5300181818181818
8450.0,0.8507625,0.844325,,,0.53
8500.0,0.843025,0.8376,,,0.5045818181818181
8550.0,0.8503375,0.842375,,,0.570490909090909
8600.0,0.8539,0.8465125,,,0.5694363636363636
8650.0,0.8500875,0.841925,,,0.49838181818181826
